,name,address,brand,is_self,gas,diesel,washcar,lpg,fixcar,convenience,hour24,gu,lat,lng
185,삼미상사(주)장안킹셀프주유소,서울 동대문구 한천로 100 (장안동),SK에너지,Y,"1,589","1,578",Y,N,N,N,N,동대문구,37.5789822,127.0696339
186,(주)파랑에너지,서울 동대문구 망우로 126,GS칼텍스,Y,"1,595","1,500",Y,N,N,N,N,동대문구,37.591192,127.0670882
187,(주)경동주유소,서울 동대문구 이문로 191 (이문동),S-OIL,Y,"1,595","1,545",Y,N,N,N,N,동대문구,37.6036095,127.0617858
188,(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),SK에너지,Y,"1,608","1,558",Y,N,N,N,N,동대문구,37.5901174,127.0631566
189,홍능주유소,서울 동대문구 홍릉로 87 (청량리동),S-OIL,N,"1,615","1,575",Y,N,N,N,N,동대문구,37.5880321,127.0425684
190,현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),현대오일뱅크,N,"1,618","1,577",Y,N,N,N,Y,동대문구,37.56319800000001,127.0696548
191,대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),GS칼텍스,Y,"1,619","1,530",Y,N,N,N,Y,동대문구,37.5813765,127.0450573
192,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),GS칼텍스,Y,"1,619","1,530",Y,N,Y,N,Y,동대문구,37.57570339999999,127.0376115
193,배봉로주유소,서울 동대문구 서울시립대로 108,현대오일뱅크,Y,"1,645","1,595",Y,N,N,N,N,동대문구,37.5800075,127.051056
194,오동나무주유소,서울 동대문구 한천로 81 (답십리동),S-OIL,N,"1,658","1,598",N,N,N,N,N,동대문구,37.5688954,127.0634055
195,한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),현대오일뱅크,N,"1,790","1,539",N,N,N,N,N,동대문구,37.588455,127.057499
196,창원이엔지주유소,서울 동작구 사당로 59 (상도동),현대오일뱅크,Y,"1,555","1,535",Y,N,N,N,N,동작구,37.4948932,126.9614301
197,지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로 214,GS칼텍스,N,"1,595","1,535",N,N,N,N,N,동작구,37.5056797,126.9229038
198,매일주유소,서울 동작구 상도로 139 (상도동),S-OIL,Y,"1,599","1,659",Y,N,N,N,N,동작구,37.5027158,126.9350931
199,현대오일뱅크㈜직영 신대방셀프주유소,서울 동작구 시흥대로 616 (신대방동),현대오일뱅크,Y,"1,617","1,604",Y,N,Y,Y,Y,동작구,37.4871156,126.9055658
200,지에스칼텍스㈜직영 남성주유소,서울 동작구 동작대로 135 (사당동),GS칼텍스,Y,"1,649","1,659",N,N,N,N,Y,동작구,37.4886663,126.9819562
201,현대오일뱅크(주)직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),현대오일뱅크,Y,"1,659","1,674",Y,N,N,N,Y,동작구,37.4830715,126.9815177
202,현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),현대오일뱅크,Y,"1,659","1,674",Y,N,N,N,Y,동작구,37.5084548,126.9621517
203,현대오일뱅크(주)직영 동작주유소,서울 동작구 상도로 403 (상도동),현대오일뱅크,N,"1,669","1,684",Y,N,N,N,N,동작구,37.493427,126.9565053
204,살피재주유소,서울 동작구 상도로 334,SK에너지,N,"1,775","1,765",N,N,N,N,N,동작구,37.49832110000001,126.9513763
205,마포시엠주유소,서울 마포구 월드컵북로 62,SK에너지,N,"1,527","1,497",N,N,N,N,N,마포구,37.5840042,126.8850634
206,청원주유소,서울 마포구 월드컵북로 113 (성산동),현대오일뱅크,Y,"1,577","1,527",Y,N,N,N,N,마포구,37.5695475,126.9090302
207,성산대교셀프주유소,서울 마포구 성산로 144,현대오일뱅크,Y,"1,577","1,527",Y,N,Y,N,N,마포구,37.5643058,126.9094768
208,성산주유소,서울 마포구 월드컵북로 170 (성산제2동),SK에너지,N,"1,577","1,527",N,N,N,N,N,마포구,37.5674364,126.9098126
209,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),SK에너지,N,"1,638","1,588",Y,N,N,N,N,마포구,37.5587422,126.9072625
210,에쓰오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),S-OIL,Y,"1,639","1,649",Y,N,N,N,N,마포구,37.5461825,126.9446915
211,에스에스오토셀프,서울 마포구 서강로 76 (창전동),현대오일뱅크,Y,"1,639","1,649",Y,N,N,N,Y,마포구,37.5497919,126.9326402
212,용강주유소,서울 마포구 토정로 258,S-OIL,N,"1,639","1,649",N,N,N,N,N,마포구,37.542977,126.9388004
213,(주)만성상사 대흥주유소,서울 마포구 대흥로 61 (대흥동),SK에너지,N,"1,659","1,659",Y,N,N,N,Y,마포구,37.5459142,126.9398836
214,SK에너지(주) 안국주유소,서울 마포구 양화로 33,SK에너지,N,"1,699","1,739",N,N,N,N,Y,마포구,37.5492628,126.9125773
215,SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),SK에너지,N,"1,699","1,749",N,N,Y,Y,Y,마포구,37.5376496,126.9463971
216,마포주유소,서울 마포구 마포대로 186 (공덕동),S-OIL,N,"1,898","1,898",Y,N,N,N,N,마포구,37.5506944,126.9505988
217,구도일주유소 두꺼비,서울 서대문구 성산로 312,S-OIL,Y,"1,544","1,538",Y,N,Y,N,N,서대문구,37.5659928,126.924833
218,(주)미래아스팔트 신우주유소,서울 서대문구 가좌로 106(홍은동),S-OIL,Y,"1,544","1,538",Y,N,Y,N,N,서대문구,37.5822173,126.9265787
219,(주)창원이엔지 홍제지점,서울 서대문구 통일로 455 (홍제동),현대오일뱅크,N,"1,544","1,535",N,N,N,N,N,서대문구,37.5895561,126.9494023
220,지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로 372,GS칼텍스,Y,"1,550","1,554",Y,N,N,N,N,서대문구,37.5835317,126.9501992
221,㈜우남에너지 문화사랑주유소,서울 서대문구 세검정로 87 (홍제동),S-OIL,Y,"1,569","1,579",Y,N,N,N,N,서대문구,37.595423,126.9484173
222,(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,현대오일뱅크,Y,"1,573","1,538",N,N,N,Y,Y,서대문구,37.5792768,126.933107
223,남정주유소,서울 서대문구 모래내로 243 (남가좌동),GS칼텍스,N,"1,578","1,558",N,N,N,N,N,서대문구,37.574463,126.9153354
224,현대오일뱅크(주)직영 연세주유소,서울 서대문구 연희로 184,현대오일뱅크,Y,"1,589","1,559",Y,N,N,N,N,서대문구,37.573442,126.9359117
225,삼미상사(주)서부주유소,서울 서대문구 성산로 255,SK에너지,Y,"1,597","1,587",Y,N,Y,Y,N,서대문구,37.5677169,126.9189548
226,(주)안국에너지 삼보셀프주유소,서울 서대문구 연희로 78 (연희동),SK에너지,Y,"1,608","1,578",Y,N,Y,N,N,서대문구,37.5649687,126.92993
227,중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),SK에너지,Y,"1,615","1,575",N,N,N,Y,N,서대문구,37.5584944,126.9345627
228,광호주유소,서울 서대문구 연희로 266 (홍은동),SK에너지,N,"1,628","1,598",Y,N,N,N,N,서대문구,37.5807121,126.9365769
229,연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),SK에너지,N,"1,628","1,598",Y,N,N,Y,N,서대문구,37.5692438,126.9324894
